N,P,Thread,,Serial
1,1,0.000223,,0.000004
2,1,0.000275,,0.000004
3,1,0.00029,,0.000005
4,2,0.000271,,0.000007
5,1,0.000228,,0.000005
6,3,0.000368,,0.000006
7,1,0.000278,,0.000006
8,4,0.00042,,0.000007
9,3,0.000343,,0.000009
10,5,0.000482,,0.00001
11,1,0.000303,,0.000012
12,6,0.000614,,0.000018
13,1,0.000331,,0.000022
14,7,0.000661,,0.000022
15,5,0.000576,,0.000025
16,8,0.000618,,0.000027
17,1,0.000342,,0.000037
18,9,0.0007,,0.000041
19,1,0.000322,,0.000046
20,10,0.000849,,0.000054
21,7,0.000627,,0.00006
22,11,0.001,,0.000067
23,1,0.000298,,0.000077
24,12,0.001097,,0.000085
25,5,0.000677,,0.000095
26,13,0.000977,,0.000109
27,9,0.000798,,0.000115
28,14,0.001278,,0.000127
29,1,0.000373,,0.000139
30,15,0.001443,,0.000157
31,1,0.000357,,0.000185
32,16,0.001487,,0.000197
33,11,0.000992,,0.000216
34,17,0.001622,,0.000228
35,7,0.000958,,0.000275
36,18,0.001561,,0.000268
37,1,0.000426,,0.000288
38,19,0.001716,,0.000311
39,13,0.001229,,0.000351
40,20,0.001691,,0.000358
41,1,0.000596,,0.000384
42,21,0.002249,,0.000411
43,1,0.000649,,0.000443
44,22,0.001817,,0.000467
45,15,0.001498,,0.000504
46,23,0.002163,,0.00054
47,1,0.000692,,0.000563
48,24,0.002184,,0.000613
49,7,0.001303,,0.000647
50,25,0.002292,,0.000689
51,17,0.001824,,0.000719
52,26,0.002446,,0.000761
53,1,0.000852,,0.000799
54,27,0.002518,,0.000854
55,11,0.001534,,0.0009
56,28,0.002724,,0.000938
57,19,0.002341,,0.000986
58,29,0.002983,,0.001038
59,1,0.001023,,0.001093
60,30,0.002945,,0.001145
61,1,0.001212,,0.002738
62,31,0.003122,,0.002423
63,21,0.002444,,0.002537
64,32,0.003261,,0.002676
65,13,0.002039,,0.002751
66,33,0.003529,,0.00156
67,1,0.00137,,0.003023
68,34,0.003585,,0.001683
69,23,0.003016,,0.00184
70,35,0.003773,,0.003406
71,1,0.001596,,0.003497
72,36,0.004039,,0.002003
73,1,0.001817,,0.003938
74,37,0.004255,,0.002193
75,25,0.003617,,0.004274
76,38,0.004317,,0.004469
77,11,0.002785,,0.004657
78,39,0.004752,,0.004863
79,1,0.002211,,0.005001
80,40,0.005112,,0.005151
81,27,0.004176,,0.005384
82,41,0.005064,,0.00562
83,1,0.002558,,0.005766
84,42,0.005582,,0.005984
85,17,0.003865,,0.006226
86,43,0.005973,,0.006461
87,29,0.005079,,0.006647
88,44,0.005602,,0.006815
89,1,0.003125,,0.00371
90,45,0.00624,,0.007348
91,13,0.003966,,0.005196
92,46,0.006133,,0.00404
93,31,0.005145,,0.007833
94,47,0.006588,,0.004306
95,19,0.004595,,0.006973
96,48,0.006901,,0.004614
97,1,0.003829,,0.004757
98,49,0.007356,,0.004836
99,33,0.006505,,0.004987
100,50,0.007242,,0.005109
101,1,0.004358,,0.005313
102,51,0.008208,,0.005408
103,1,0.004449,,0.005646
104,52,0.008028,,0.005715
105,35,0.006818,,0.005933
106,53,0.008511,,0.006093
107,1,0.005181,,0.006294
108,54,0.008947,,0.006374
109,1,0.005405,,0.006615
110,55,0.008831,,0.006786
111,37,0.007822,,0.007002
112,56,0.009256,,0.007123
113,1,0.005957,,0.007532
114,57,0.009873,,0.007632
115,23,0.007645,,0.007816
116,58,0.010065,,0.007915
117,39,0.009166,,0.008238
118,59,0.010395,,0.008478
119,17,0.007812,,0.008616
120,60,0.010599,,0.00873
121,1,0.007151,,0.00902
122,61,0.011199,,0.009326
123,41,0.010225,,0.00957
124,62,0.012287,,0.009568
125,25,0.009277,,0.009871
126,63,0.012457,,0.010084
127,1,0.008375,,0.010378
128,64,0.013438,,0.012782
129,43,0.011483,,0.011013
130,65,0.013802,,0.011054
131,1,0.009028,,0.011471
132,66,0.014348,,0.011643
133,19,0.01147,,0.012246
134,67,0.014831,,0.026272
135,45,0.012607,,0.012659
136,68,0.014229,,0.012951
137,1,0.010272,,0.013455
138,69,0.015328,,0.029504
139,1,0.010341,,0.013787
140,70,0.016018,,0.028424
141,47,0.014602,,0.030718
142,71,0.0209,,0.014904
143,1,0.012292,,0.015302
144,72,0.016649,,0.015085
145,29,0.014061,,0.015429
146,73,0.017596,,0.015822
147,49,0.016619,,0.016464
148,74,0.019168,,0.016663
149,1,0.013268,,0.016982
150,75,0.018801,,0.017149
151,1,0.014661,,0.017612
152,76,0.020564,,0.017915
153,51,0.018379,,0.018705
154,77,0.021328,,0.019032
155,31,0.017467,,0.019176
156,78,0.021663,,0.019399
157,1,0.015846,,0.019873
158,79,0.022057,,0.020057
159,53,0.020317,,0.020501
160,80,0.023308,,0.020981
161,23,0.01931,,0.021588
162,81,0.024746,,0.022374
163,1,0.017992,,0.022762
164,82,0.026944,,0.023146
165,55,0.021725,,0.024784
166,83,0.023834,,0.054322
167,1,0.018595,,0.052985
168,84,0.02484,,0.024731
169,1,0.020649,,0.047183
170,85,0.027288,,0.027395
171,57,0.025698,,0.026528
172,86,0.031324,,0.026776
173,1,0.023388,,0.028164
174,87,0.027458,,0.027924
175,35,0.024602,,0.029513
176,88,0.02954,,0.028396
177,59,0.030166,,0.031788
178,89,0.032946,,0.029869
179,1,0.027576,,0.033515
180,90,0.030645,,0.031516
181,1,0.024313,,0.034633
182,91,0.032788,,0.032922
183,61,0.036344,,0.07303
184,92,0.032087,,0.07038
185,37,0.031333,,0.03789
186,93,0.034007,,0.037302
187,1,0.027797,,0.036961
188,94,0.039068,,0.03621
189,63,0.035139,,0.041348
190,95,0.037943,,0.040627
191,1,0.030311,,0.039679
192,96,0.040073,,0.040224
193,1,0.030813,,0.040879
194,97,0.038153,,0.040959
195,65,0.03717,,0.04323
196,98,0.040828,,0.041077
197,1,0.0345,,0.044533
198,99,0.04075,,0.046148
199,1,0.034778,,0.090466
200,100,0.042285,,0.062211
201,67,0.039761,,0.048793
202,101,0.047765,,0.048356
203,29,0.038485,,0.050595
204,102,0.044505,,0.047798
205,41,0.044185,,0.052503
206,103,0.046358,,0.053464
207,69,0.043925,,0.054898
208,104,0.055287,,0.05093
209,1,0.039868,,0.056893
210,105,0.048517,,0.057132
211,1,0.041555,,0.086154
212,106,0.052291,,0.083343
213,71,0.050191,,0.059796
214,107,0.057468,,0.087858
215,43,0.048802,,0.061837
216,108,0.05012,,0.054036
217,31,0.047013,,0.063406
218,109,0.053991,,0.06517
219,73,0.053076,,0.066198
220,110,0.055473,,0.12172
221,1,0.047555,,0.083177
222,111,0.060402,,0.067646
223,1,0.053099,,0.07021
224,112,0.059728,,0.065345
225,75,0.056151,,0.070772
226,113,0.058973,,0.071331
227,1,0.056767,,0.072284
228,114,0.060069,,0.067548
229,1,0.053735,,0.078605
230,115,0.067369,,0.078812
231,77,0.05924,,0.07759
232,116,0.060902,,0.067327
233,1,0.056892,,0.079199
234,117,0.066282,,0.079658
235,47,0.065132,,0.081322
236,118,0.066284,,0.169495
237,79,0.067169,,0.111061
238,119,0.071485,,0.085289
239,1,0.063384,,0.089498
240,120,0.078491,,0.078621
241,1,0.06714,,0.093804
242,121,0.072759,,0.18356
243,81,0.089305,,0.118986
244,122,0.075524,,0.082426
245,49,0.071935,,0.093277
246,123,0.080228,,0.093829
247,1,0.068818,,0.095595
248,124,0.073591,,0.092868
249,83,0.075516,,0.108939
250,125,0.081202,,0.110377
251,1,0.073599,,0.100916
252,126,0.08743,,0.090266
253,1,0.072233,,0.102744
254,127,0.085637,,0.105491
255,85,0.083248,,0.147784
256,128,0.116395,,0.144697
257,1,0.073193,,0.10062
258,129,0.083097,,0.101965
259,37,0.077856,,0.102499
260,130,0.087932,,0.111628
261,87,0.083398,,0.222953
262,131,0.087794,,0.106701
263,1,0.079488,,0.107798
264,132,0.094851,,0.099218
265,53,0.087667,,0.114575
266,133,0.097389,,0.11896
267,89,0.090363,,0.115285
268,134,0.094317,,0.106831
269,1,0.085068,,0.116477
270,135,0.098657,,0.125686
271,1,0.094279,,0.131634
272,136,0.100522,,0.181618
273,91,0.101611,,0.12426
274,137,0.106575,,0.124599
275,55,0.097952,,0.127765
276,138,0.106097,,0.179413
277,1,0.093521,,0.155374
278,139,0.105332,,0.132385
279,93,0.104445,,0.133822
280,140,0.110268,,0.149296
281,1,0.104105,,0.139075
282,141,0.116251,,0.139144
283,1,0.113234,,0.142594
284,142,0.114433,,0.185247
285,95,0.115348,,0.24777
286,143,0.11896,,0.146128
287,41,0.109889,,0.1483
288,144,0.119817,,0.233198
289,1,0.119295,,0.15266
290,145,0.127095,,0.164624
291,97,0.126419,,0.28432
292,146,0.127035,,0.146124
293,1,0.119109,,0.159332
294,147,0.131956,,0.170415
295,59,0.124107,,0.165625
296,148,0.140854,,0.230498
297,99,0.127068,,0.167261
298,149,0.132347,,0.168222
299,1,0.124794,,0.370832
300,150,0.135463,,0.154675
301,43,0.13508,,0.178751
302,151,0.143937,,0.27718
303,101,0.139723,,0.257115
304,152,0.139477,,0.163552
305,61,0.131757,,0.183612
306,153,0.143435,,0.288409
307,1,0.148785,,0.193094
308,154,0.144233,,0.171566
309,103,0.150202,,0.20221
310,155,0.173854,,0.201322
311,1,0.141818,,0.192158
312,156,0.144886,,0.174584
313,1,0.137854,,0.197382
314,157,0.156553,,0.207591
315,105,0.151912,,0.234571
316,158,0.153759,,0.184382
317,1,0.154576,,0.207072
318,159,0.158049,,0.410955
319,1,0.147287,,0.281698
320,160,0.180971,,0.205281
321,107,0.169501,,0.30065
322,161,0.165689,,0.213264
323,1,0.158501,,0.232718
324,162,0.170271,,0.364717
325,65,0.161169,,0.221357
326,163,0.182181,,0.294467
327,109,0.179905,,0.23094
328,164,0.18133,,0.191579
329,47,0.175627,,0.227578
330,165,0.183607,,0.230477
331,1,0.167319,,0.233243
332,166,0.18824,,0.211013
333,111,0.190308,,0.237063
334,167,0.195404,,0.24489
335,67,0.186483,,0.239584
336,168,0.195345,,0.230506
337,1,0.191293,,0.245731
338,169,0.196935,,0.247142
339,113,0.195915,,0.249757
340,170,0.210601,,0.224296
341,1,0.221891,,0.255257
342,171,0.215526,,0.259449
343,49,0.204414,,0.257323
344,172,0.201383,,0.220084
345,115,0.275122,,0.262532
346,173,0.227307,,0.265948
347,1,0.224629,,0.267025
348,174,0.20478,,0.242001
349,1,0.210086,,0.271748
350,175,0.222292,,0.27757
351,117,0.207738,,0.278676
352,176,0.212883,,0.259352
353,1,0.216694,,0.282823
354,177,0.220953,,0.285988
355,71,0.212267,,0.287866
356,178,0.227419,,0.260129
357,119,0.236547,,0.291492
358,179,0.22489,,0.322326
359,1,0.230381,,0.300281
360,180,0.227556,,0.252195
361,1,0.217202,,0.302274
362,181,0.248884,,0.306297
363,121,0.245327,,0.309061
364,182,0.235432,,0.279473
365,73,0.23255,,0.315317
366,183,0.258055,,0.323774
367,1,0.239318,,0.318338
368,184,0.248068,,0.29844
369,123,0.258226,,0.324208
370,185,0.247318,,0.329955
371,53,0.248962,,0.342398
372,186,0.247721,,0.297815
373,1,0.239988,,0.333387
374,187,0.270525,,0.348895
375,125,0.250373,,0.353599
376,188,0.250089,,0.36169
377,1,0.310684,,0.348168
378,189,0.271727,,0.349845
379,1,0.304206,,0.473831
380,190,0.282967,,0.318902
381,127,0.271861,,0.402316
382,191,0.283431,,0.4159
383,1,0.332777,,0.366147
384,192,0.361219,,0.480089
385,77,0.27615,,0.385566
386,193,0.288555,,0.431611
387,129,0.313023,,0.381542
388,194,0.290329,,0.424412
389,1,0.346591,,0.504261
390,195,0.310189,,0.389694
391,1,0.299923,,0.512513
392,196,0.27745,,0.332334
393,131,0.301663,,0.408736
394,197,0.324918,,0.479453
395,79,0.302916,,0.407918
396,198,0.309785,,0.38822
397,1,0.301301,,0.416286
398,199,0.322324,,0.461268
399,133,0.306986,,0.517768
400,200,0.316444,,0.3992
401,1,0.358658,,0.473872
402,201,0.364878,,0.517341
403,1,0.393713,,0.433902
404,202,0.353394,,0.419741
405,135,0.347092,,0.437164
406,203,0.354176,,0.549884
407,1,0.4203,,0.509984
408,204,0.318927,,0.369738
409,1,0.460537,,0.648326
410,205,0.378905,,0.647787
411,137,0.38075,,0.552855
412,206,0.457016,,0.409972
413,59,0.36134,,0.672063
414,207,0.385201,,0.645907
415,83,0.3932,,0.643901
416,208,0.373631,,0.448074
417,139,0.372978,,0.510474
418,209,0.418115,,0.688275
419,1,0.508097,,0.690143
420,210,0.38477,,0.631825
421,1,0.452502,,0.68933
422,211,0.409397,,0.680884
423,141,0.399718,,0.562451
424,212,0.376591,,0.476372
425,85,0.412085,,0.723366
426,213,0.388293,,0.780309
427,61,0.394451,,0.723423
428,214,0.403918,,0.617533
429,143,0.408464,,0.707814
430,215,0.415643,,0.69775
431,1,0.49526,,0.700933
432,216,0.385883,,0.550993
433,1,0.484976,,0.674016
434,217,0.419842,,0.709265
435,145,0.416787,,0.609015
436,218,0.436189,,0.493138
437,1,0.60656,,0.547852
438,219,0.463256,,0.546853
439,1,0.572927,,0.566834
440,220,0.406081,,0.460195
441,147,0.44759,,0.568264
442,221,0.47238,,0.572286
443,1,0.599857,,0.564426
444,222,0.449589,,0.526863
445,89,0.441013,,0.58055
446,223,0.557288,,0.592645
447,149,0.512629,,0.582132
448,224,0.567562,,0.704118
449,1,0.785985,,0.610003
450,225,0.699157,,0.608048
451,1,0.692206,,0.595814
452,226,0.561105,,0.584733
453,151,0.516913,,0.618751
454,227,0.620489,,0.6515
455,91,0.553873,,0.698205
456,228,0.478481,,0.524193
457,1,0.726664,,0.640131
458,229,0.487503,,0.670764
459,153,0.511833,,0.832083
460,230,0.559794,,0.622075
461,1,0.686759,,0.663309
462,231,0.544571,,0.707055
463,1,0.659088,,0.833217
464,232,0.488596,,0.696778
465,155,0.540019,,0.81781
466,233,0.523162,,0.811018
467,1,0.669615,,0.846768
468,234,0.537633,,0.912979
469,67,0.543326,,0.955526
470,235,0.565876,,0.890423
471,157,0.548565,,0.865375
472,236,0.550977,,0.768122
473,1,0.633867,,0.906498
474,237,0.577898,,0.957145
475,95,0.611854,,0.898526
476,238,0.546471,,0.833795
477,159,0.55837,,0.894586
478,239,0.591097,,1.129401
479,1,0.717475,,0.93802
480,240,0.583745,,0.777307
481,1,0.554752,,0.970795
482,241,0.627968,,1.256104
483,161,0.577513,,1.083192
484,242,0.593777,,0.956276
485,97,0.60111,,0.97024
486,243,0.611476,,1.276687
487,1,0.833255,,0.968477
488,244,0.621874,,0.887833
489,163,0.633664,,1.273156
490,245,0.659687,,1.101359
491,1,0.849569,,1.134146
492,246,0.809079,,0.734904
493,1,0.770852,,0.784791
494,247,0.727203,,0.816611
495,165,0.82481,,0.818842
496,248,0.737574,,0.728942
497,71,0.900282,,0.829654
498,249,0.993987,,0.843987
499,1,1.206691,,0.843464
500,250,0.69187,,0.772552
501,167,0.674609,,0.841264
502,251,0.705351,,0.873904
503,1,1.069183,,0.853042
504,252,0.658805,,0.754782
505,101,0.724773,,0.864601
506,253,0.730155,,0.881009
507,169,0.715968,,0.864764
508,254,0.691788,,0.8021
509,1,0.835492,,0.876381
510,255,0.720434,,0.893509
511,73,0.73648,,0.876446
512,256,0.946117,,1.13641
513,171,0.73953,,0.902608
514,257,0.82911,,0.913455
515,103,1.002653,,0.910371
516,258,0.843091,,0.847916
517,1,1.05432,,0.925291
518,259,0.939959,,0.953163
519,173,0.834964,,0.949361
520,260,0.739099,,0.845641
521,1,1.08943,,0.958743
522,261,0.790534,,0.97174
523,1,0.826559,,0.969346
524,262,0.7872,,0.911195
525,175,0.756287,,0.991139
526,263,0.784814,,0.997408
527,1,0.761469,,0.977022
528,264,0.71275,,0.885294
529,1,0.760182,,0.990975
530,265,0.795035,,1.016517
531,177,0.7815,,1.023202
532,266,0.789858,,0.944043
533,1,0.757935,,1.028776
534,267,0.78955,,1.070309
535,107,0.792863,,1.056102
536,268,0.792702,,0.925755
537,179,0.855215,,1.062892
538,269,0.918002,,1.078294
539,77,0.878009,,1.068858
540,270,0.929139,,0.986408
541,1,0.952322,,1.081259
542,271,0.91153,,1.091026
543,181,0.893152,,1.087141
544,272,0.928055,,1.041458
545,109,0.975497,,1.090139
546,273,0.922702,,1.120837
547,1,1.06657,,1.10936
548,274,0.939616,,1.048603
549,183,0.940006,,1.127735
550,275,0.926013,,1.145671